Date,Close
1/2/2020 16:00,59.08
1/3/2020 16:00,59.08
1/6/2020 16:00,59.59
1/7/2020 16:00,59.29
1/8/2020 16:00,55.83
1/9/2020 16:00,54.68
1/10/2020 16:00,54.22
1/13/2020 16:00,54.06
1/14/2020 16:00,54.62
1/15/2020 16:00,54.43
1/16/2020 16:00,54.42
1/17/2020 16:00,54.41
1/21/2020 16:00,53.87
1/22/2020 16:00,53.42
1/23/2020 16:00,53.3
1/24/2020 16:00,52.04
1/27/2020 16:00,52.23
1/28/2020 16:00,52.78
1/29/2020 16:00,52.28
1/30/2020 16:00,51.95
1/31/2020 16:00,50.85
2/3/2020 16:00,50.95
2/4/2020 16:00,52.34
2/5/2020 16:00,52.98
2/6/2020 16:00,53.49
2/7/2020 16:00,53.24
2/10/2020 16:00,53.42
2/11/2020 16:00,52.99
2/12/2020 16:00,54.47
2/13/2020 16:00,53.57
2/14/2020 16:00,52.85
2/18/2020 16:00,51.86
2/19/2020 16:00,52.07
2/20/2020 16:00,51.87
2/21/2020 16:00,51.45
2/24/2020 16:00,49.03
2/25/2020 16:00,47.51
2/26/2020 16:00,47.67
2/27/2020 16:00,46.24
2/28/2020 16:00,45.76
3/2/2020 16:00,48.11
3/3/2020 16:00,46.12
3/4/2020 16:00,48.69
3/5/2020 16:00,48.78
3/6/2020 16:00,50.51
3/9/2020 16:00,48.44
3/10/2020 16:00,49.16
3/11/2020 16:00,46.07
3/12/2020 16:00,41.02
3/13/2020 16:00,46.19
3/16/2020 16:00,45.08
3/17/2020 16:00,49.6
3/18/2020 16:00,52.81
3/19/2020 16:00,48.55
3/20/2020 16:00,46.42
3/23/2020 16:00,43.61
3/24/2020 16:00,45.25
3/25/2020 16:00,41.44
3/26/2020 16:00,45.67
3/27/2020 16:00,44
3/30/2020 16:00,45.16
3/31/2020 16:00,45.75
4/1/2020 16:00,43.03
4/2/2020 16:00,40.32
4/3/2020 16:00,40.72
4/6/2020 16:00,42.63
4/7/2020 16:00,42.81
4/8/2020 16:00,43.09
4/9/2020 16:00,43.98
4/13/2020 16:00,44.11
4/14/2020 16:00,46.38
4/15/2020 16:00,43.44
4/16/2020 16:00,43.23
4/17/2020 16:00,44.5
4/20/2020 16:00,42.85
4/21/2020 16:00,42.55
4/22/2020 16:00,43.31
4/23/2020 16:00,43.5
4/24/2020 16:00,43.74
4/27/2020 16:00,44.43
4/28/2020 16:00,44.65
4/29/2020 16:00,45.36
4/30/2020 16:00,43.29
5/1/2020 16:00,41.66
5/4/2020 16:00,42.45
5/5/2020 16:00,42.02
5/6/2020 16:00,41.2
5/7/2020 16:00,40.66
5/8/2020 16:00,41.67
5/11/2020 16:00,41.71
5/12/2020 16:00,40.53
5/13/2020 16:00,38.35
5/14/2020 16:00,38.85
5/15/2020 16:00,38.4
5/18/2020 16:00,40.86
5/19/2020 16:00,39.77
5/20/2020 16:00,40.14
5/21/2020 16:00,39.75
5/22/2020 16:00,39.6
5/26/2020 16:00,42.16
5/27/2020 16:00,42.97
5/28/2020 16:00,41.83
5/29/2020 16:00,42.94
6/1/2020 16:00,43.3
6/2/2020 16:00,43.55
6/3/2020 16:00,43.61
6/4/2020 16:00,44.2
6/5/2020 16:00,45.35
6/8/2020 16:00,47.02
6/9/2020 16:00,45.28
6/10/2020 16:00,44.28
6/11/2020 16:00,40.75
6/12/2020 16:00,41.4
6/15/2020 16:00,41.49
6/16/2020 16:00,42.15
6/17/2020 16:00,42.15
6/18/2020 16:00,41.98
6/19/2020 16:00,44.13
6/22/2020 16:00,43.24
6/23/2020 16:00,42.81
6/24/2020 16:00,41.17
6/25/2020 16:00,42.04
6/26/2020 16:00,41.17
6/29/2020 16:00,42.32
6/30/2020 16:00,42.39
7/1/2020 16:00,40.88
7/2/2020 16:00,41.98
7/6/2020 16:00,43.16
7/7/2020 16:00,42.22
7/8/2020 16:00,42.29
7/9/2020 16:00,39.01
7/10/2020 16:00,40.12
7/13/2020 16:00,39.58
7/14/2020 16:00,40.11
7/15/2020 16:00,40.68
7/16/2020 16:00,41.35
7/17/2020 16:00,41.42
7/20/2020 16:00,40.46
7/21/2020 16:00,40.41
7/22/2020 16:00,40.69
7/23/2020 16:00,40.34
7/24/2020 16:00,40.51
7/27/2020 16:00,39.84
7/28/2020 16:00,40.68
7/29/2020 16:00,41.16
7/30/2020 16:00,40.64
7/31/2020 16:00,40.71
8/3/2020 16:00,41.08
8/4/2020 16:00,40.93
8/5/2020 16:00,40.81
8/6/2020 16:00,40.89
8/7/2020 16:00,41.52
8/10/2020 16:00,42.86
8/11/2020 16:00,41.85
8/12/2020 16:00,41.82
8/13/2020 16:00,41
8/14/2020 16:00,41.91
8/17/2020 16:00,41.18
8/18/2020 16:00,40.76
8/19/2020 16:00,40.25
8/20/2020 16:00,39.71
8/21/2020 16:00,39.46
8/24/2020 16:00,39.74
8/25/2020 16:00,39.5
8/26/2020 16:00,38.67
8/27/2020 16:00,39.34
8/28/2020 16:00,38.76
8/31/2020 16:00,38.02
9/1/2020 16:00,36.76
9/2/2020 16:00,37.17
9/3/2020 16:00,37.09
9/4/2020 16:00,36.89
9/8/2020 16:00,36.1
9/9/2020 16:00,35.35
9/10/2020 16:00,34.67
9/11/2020 16:00,34.7
9/14/2020 16:00,35.11
9/15/2020 16:00,35.27
9/16/2020 16:00,36.28
9/17/2020 16:00,37.21
9/18/2020 16:00,36.93
9/21/2020 16:00,35.79
9/22/2020 16:00,35.72
9/23/2020 16:00,35.06
9/24/2020 16:00,35.03
9/25/2020 16:00,35.43
9/28/2020 16:00,36.07
9/29/2020 16:00,35.38
9/30/2020 16:00,35.92
10/1/2020 16:00,35.87
10/2/2020 16:00,35.77
10/5/2020 16:00,36.62
10/6/2020 16:00,35.95
10/7/2020 16:00,36.49
10/8/2020 16:00,37.07
10/9/2020 16:00,36.34
10/12/2020 16:00,36.93
10/13/2020 16:00,36.18
10/14/2020 16:00,35.91
10/15/2020 16:00,37.64
10/16/2020 16:00,37.41
10/19/2020 16:00,36.97
10/20/2020 16:00,37.49
10/21/2020 16:00,37.39
10/22/2020 16:00,37.51
10/23/2020 16:00,38.04
10/26/2020 16:00,37.21
10/27/2020 16:00,36
10/28/2020 16:00,34.59
10/29/2020 16:00,33.52
10/30/2020 16:00,34.04
11/2/2020 16:00,35.79
11/3/2020 16:00,37.37
11/4/2020 16:00,36.3
11/5/2020 16:00,37.53
11/6/2020 16:00,37.31
11/9/2020 16:00,39.78
11/10/2020 16:00,42.35
11/11/2020 16:00,41.44
11/12/2020 16:00,40.77
11/13/2020 16:00,42.71
11/16/2020 16:00,44.1
11/17/2020 16:00,39.85
11/18/2020 16:00,38.23
11/19/2020 16:00,37.85
11/20/2020 16:00,37.53
11/23/2020 16:00,37.98
11/24/2020 16:00,38.52
11/25/2020 16:00,39.07
11/27/2020 13:00,39
11/30/2020 16:00,38.01
12/1/2020 16:00,38.46
12/2/2020 16:00,39.84
12/3/2020 16:00,42.82
12/4/2020 16:00,43.41
12/7/2020 16:00,42.43
12/8/2020 16:00,41.99
12/9/2020 16:00,41.77
12/10/2020 16:00,41.65
12/11/2020 16:00,41.53
12/14/2020 16:00,41.48
12/15/2020 16:00,41.33
12/16/2020 16:00,40.44
12/17/2020 16:00,40.88
12/18/2020 16:00,40.69
12/21/2020 16:00,40.67
12/22/2020 16:00,39.27
12/23/2020 16:00,39.87
12/24/2020 13:00,39.62
12/28/2020 16:00,39.66
12/29/2020 16:00,39.41
12/30/2020 16:00,39.34
